Date,Open,High,Low,Close,Volume
11/18/2024,"149.56","151.60","148.43","151.42","1,937,449"
11/15/2024,"151.92","152.79","149.27","149.37","1,282,196"
11/14/2024,"157.04","157.70","153.02","153.68","1,223,400"
11/13/2024,"160.00","160.63","156.51","157.30","1,299,785"
11/12/2024,"163.41","164.32","160.66","161.21","743,206"
11/11/2024,"165.40","166.28","162.11","163.74","903,642"
11/08/2024,"164.30","165.52","163.22","165.42","844,267"
11/07/2024,"162.51","165.36","162.06","165.18","1,147,399"
11/06/2024,"160.74","162.34","158.67","161.85","1,729,915"
11/05/2024,"153.69","155.39","152.61","154.89","1,043,084"
11/04/2024,"154.01","155.79","153.41","153.56","1,127,427"
11/01/2024,"150.08","152.66","149.85","151.55","1,014,004"
10/31/2024,"151.00","151.19","148.37","149.01","864,148"
10/30/2024,"154.24","154.80","151.96","151.98","918,890"
10/29/2024,"155.58","156.81","155.22","155.27","1,009,719"
10/28/2024,"157.52","157.72","155.70","155.73","733,728"
10/25/2024,"154.90","156.46","154.86","155.98","795,947"
10/24/2024,"154.20","154.69","152.94","153.75","587,113"
10/23/2024,"155.00","155.62","151.44","153.35","621,481"
10/22/2024,"156.93","157.51","153.05","155.36","916,483"
10/21/2024,"159.20","159.34","157.06","157.82","851,288"
10/18/2024,"159.44","161.00","158.29","159.95","940,769"
10/17/2024,"157.97","158.81","157.43","158.17","893,475"
10/16/2024,"158.69","159.76","157.13","157.25","959,735"
10/15/2024,"159.41","162.42","156.68","158.06","2,345,751"
10/14/2024,"159.00","159.33","157.69","158.96","1,348,644"
10/11/2024,"157.20","159.86","157.20","159.01","653,846"
10/10/2024,"156.17","157.89","155.51","157.51","673,776"
10/09/2024,"156.18","160.17","155.66","158.11","1,025,224"
10/08/2024,"156.04","156.39","154.63","155.58","804,751"
10/07/2024,"155.07","156.50","154.85","155.99","989,988"
10/04/2024,"157.18","157.26","154.93","156.38","667,589"
10/03/2024,"154.53","155.09","152.62","154.57","602,692"
10/02/2024,"154.50","157.15","153.76","155.69","689,929"
10/01/2024,"158.34","158.34","153.68","154.71","973,488"
