Date,Open,High,Low,Close,Volume
11/19/2024,"385.20","389.03","383.03","388.06","2,378,209"
11/18/2024,"393.00","393.38","385.73","386.83","2,233,408"
11/15/2024,"389.44","392.50","385.57","387.00","2,204,087"
11/14/2024,"402.11","403.16","394.03","394.39","2,428,896"
11/13/2024,"399.28","408.53","397.31","402.36","1,964,735"
11/12/2024,"395.76","399.31","393.97","398.02","1,851,424"
11/11/2024,"395.66","400.69","393.70","398.10","1,880,482"
11/08/2024,"389.00","393.21","384.27","391.40","2,058,275"
11/07/2024,"378.59","387.21","376.22","387.00","2,105,324"
11/06/2024,"378.00","386.20","376.00","385.18","2,515,730"
11/05/2024,"364.49","368.49","362.20","366.29","1,353,740"
11/04/2024,"360.65","363.88","356.00","361.12","1,532,412"
11/01/2024,"359.03","365.77","357.10","362.64","2,926,275"
10/31/2024,"364.68","369.38","358.20","360.33","2,031,981"
10/30/2024,"364.34","367.88","358.69","359.51","1,470,205"
10/29/2024,"361.77","367.47","357.79","365.39","2,205,140"
10/28/2024,"368.00","368.91","361.43","362.35","1,563,672"
10/25/2024,"367.73","372.40","365.74","366.44","1,347,173"
10/24/2024,"360.71","366.51","360.15","364.58","1,484,868"
10/23/2024,"373.56","374.15","357.58","358.19","2,701,126"
10/22/2024,"374.72","379.27","371.31","376.10","1,583,721"
10/21/2024,"374.97","384.00","373.03","378.41","2,181,251"
10/18/2024,"373.21","376.00","372.64","374.83","1,449,963"
10/17/2024,"372.00","379.73","370.33","376.15","1,547,614"
10/16/2024,"374.44","374.54","367.41","373.23","3,083,437"
10/15/2024,"373.05","376.32","370.01","374.44","3,728,964"
10/14/2024,"376.99","377.13","369.79","373.91","1,494,881"
10/11/2024,"369.01","378.33","368.95","373.20","2,298,019"
10/10/2024,"360.00","369.79","360.00","369.40","2,226,193"
10/09/2024,"355.13","363.56","355.00","362.87","2,459,228"
10/08/2024,"345.40","357.00","345.00","355.13","3,318,500"
10/07/2024,"340.62","345.56","336.81","337.94","2,399,564"
10/04/2024,"342.00","342.96","335.59","342.36","2,037,059"
10/03/2024,"329.96","336.69","328.91","335.94","2,010,347"
10/02/2024,"330.55","337.62","328.55","332.13","2,052,611"
10/01/2024,"341.60","341.78","328.25","329.29","2,702,979"
