Date,Open,High,Low,Close,Volume
11/19/2024,"127.55","130.34","126.36","130.24","4,844,089"
11/18/2024,"126.48","127.53","125.00","127.43","4,589,918"
11/15/2024,"128.59","128.95","123.36","125.96","5,737,745"
11/14/2024,"132.06","132.26","129.07","129.27","4,959,602"
11/13/2024,"126.38","134.59","126.01","130.73","11,352,150"
11/12/2024,"123.00","127.05","123.00","125.46","5,754,758"
11/11/2024,"122.22","123.71","121.69","123.50","3,829,661"
11/08/2024,"123.00","123.00","119.66","120.89","4,914,403"
11/07/2024,"122.26","124.96","122.02","123.54","4,596,365"
11/06/2024,"120.43","121.75","118.80","121.42","5,455,889"
11/05/2024,"114.26","117.34","113.65","116.50","3,774,553"
11/04/2024,"115.51","116.19","113.23","113.74","3,762,473"
11/01/2024,"115.98","117.06","113.25","115.49","4,659,481"
10/31/2024,"117.00","117.83","113.86","114.82","5,284,636"
10/30/2024,"118.25","121.19","118.02","118.99","4,610,050"
10/29/2024,"117.51","119.59","116.55","118.39","4,154,581"
10/28/2024,"117.84","119.20","116.86","117.33","5,238,649"
10/25/2024,"115.35","117.07","115.12","116.04","2,718,781"
10/24/2024,"114.84","116.33","113.94","114.92","2,817,323"
10/23/2024,"115.75","116.41","113.28","113.61","2,925,310"
10/22/2024,"116.90","117.58","114.13","115.50","5,650,818"
10/21/2024,"119.29","121.05","117.73","119.56","2,577,079"
10/18/2024,"120.00","120.56","118.22","119.54","2,751,726"
10/17/2024,"119.00","119.70","117.30","119.03","4,023,528"
10/16/2024,"123.50","123.50","118.82","118.90","4,359,114"
10/15/2024,"122.50","123.96","121.33","122.74","3,182,623"
10/14/2024,"125.42","126.50","122.50","123.16","4,002,362"
10/11/2024,"123.57","126.99","122.89","124.03","6,703,174"
10/10/2024,"119.48","123.87","119.15","123.79","8,831,497"
10/09/2024,"114.32","119.86","113.85","119.67","8,812,299"
10/08/2024,"113.77","115.02","113.13","113.52","3,289,937"
10/07/2024,"114.42","115.21","113.06","113.82","4,186,437"
10/04/2024,"112.01","115.69","111.15","114.72","6,289,612"
10/03/2024,"109.00","110.81","108.71","110.47","4,122,448"
10/02/2024,"109.96","111.38","109.16","109.65","5,396,703"
10/01/2024,"113.76","114.71","109.71","110.23","7,087,817"
