Date,Open,High,Low,Close,Volume
11/15/2024,"30.26","30.26","29.08","29.49","889,324"
11/14/2024,"31.91","32.61","29.82","29.93","1,321,187"
11/13/2024,"34.30","35.23","31.05","31.49","1,567,491"
11/12/2024,"33.79","34.84","33.61","34.32","813,178"
11/11/2024,"35.05","36.45","34.30","34.90","1,629,730"
11/08/2024,"32.20","33.97","32.20","33.95","1,269,127"
11/07/2024,"32.71","32.89","31.80","32.54","1,147,000"
11/06/2024,"30.42","31.82","29.50","31.63","1,353,264"
11/05/2024,"28.57","29.93","28.14","29.30","684,670"
11/04/2024,"28.02","28.93","27.96","28.53","465,093"
11/01/2024,"28.35","29.20","28.18","28.44","669,663"
10/31/2024,"29.56","29.89","27.44","27.79","1,062,889"
10/30/2024,"29.31","31.32","29.31","29.96","1,641,652"
10/29/2024,"28.37","29.68","27.85","29.52","1,016,714"
10/28/2024,"27.99","28.99","27.66","28.41","811,387"
10/25/2024,"28.65","29.69","27.10","27.42","1,434,647"
10/24/2024,"28.34","29.16","28.32","28.58","543,980"
10/23/2024,"29.09","29.79","27.75","28.31","954,553"
10/22/2024,"30.02","30.27","28.88","29.47","897,073"
10/21/2024,"30.10","30.62","29.60","30.14","1,089,067"
10/18/2024,"29.68","31.40","29.50","30.05","1,350,931"
10/17/2024,"28.88","29.88","28.33","29.38","1,992,080"
10/16/2024,"29.10","29.78","28.18","28.84","850,364"
10/15/2024,"28.61","29.25","27.75","28.83","918,741"
10/14/2024,"30.06","30.50","28.02","28.66","1,899,254"
10/11/2024,"27.86","31.77","27.73","29.93","4,898,580"
10/10/2024,"23.85","28.23","23.81","27.51","5,282,133"
10/09/2024,"23.45","23.81","23.15","23.24","519,373"
10/08/2024,"23.53","23.84","22.96","23.38","844,289"
10/07/2024,"23.85","23.92","23.27","23.72","688,237"
10/04/2024,"23.70","24.14","22.94","23.84","1,277,590"
10/03/2024,"23.94","24.18","22.91","23.06","1,420,963"
10/02/2024,"23.57","24.39","23.28","24.18","800,536"
10/01/2024,"24.35","24.44","23.37","23.83","976,614"
