Date,Open,High,Low,Close,Volume
11/19/2024,"156.20","158.42","154.01","156.00","9,170,486"
11/18/2024,"153.00","157.03","152.78","156.56","6,508,271"
11/15/2024,"153.83","154.21","151.92","152.13","3,888,688"
11/14/2024,"154.76","155.92","152.85","153.47","4,075,055"
11/13/2024,"155.50","156.97","154.75","154.99","3,624,515"
11/12/2024,"154.80","157.06","153.73","155.65","5,082,085"
11/11/2024,"150.00","154.70","149.90","153.28","3,541,650"
11/08/2024,"151.51","151.60","149.63","149.78","3,323,610"
11/07/2024,"147.80","152.25","147.60","150.91","4,862,354"
11/06/2024,"151.70","151.70","145.08","147.29","7,506,637"
11/05/2024,"150.01","151.83","149.53","150.99","2,692,273"
11/04/2024,"150.46","152.68","149.80","149.99","3,289,701"
11/01/2024,"151.38","151.82","150.11","150.84","2,453,210"
10/31/2024,"149.04","150.72","148.09","150.04","3,229,478"
10/30/2024,"148.00","149.79","147.69","148.52","2,520,491"
10/29/2024,"148.90","150.22","147.72","147.93","2,881,493"
10/28/2024,"152.65","153.38","149.28","149.30","2,523,740"
10/25/2024,"151.51","153.08","150.95","151.16","4,082,176"
10/24/2024,"149.21","150.50","148.62","150.18","3,060,349"
10/23/2024,"148.33","149.39","147.41","148.05","3,961,995"
10/22/2024,"150.04","150.28","148.65","149.19","2,815,030"
10/21/2024,"156.00","156.06","150.06","150.91","4,455,218"
10/18/2024,"156.49","157.07","154.71","156.84","2,988,748"
10/17/2024,"158.88","158.97","155.51","155.89","2,879,828"
10/16/2024,"160.70","160.79","158.45","158.87","3,124,548"
10/15/2024,"158.65","161.50","158.44","160.69","2,988,018"
10/14/2024,"158.20","159.56","156.55","157.97","2,534,419"
10/11/2024,"156.69","158.83","156.43","158.46","3,594,086"
10/10/2024,"154.33","156.26","152.33","155.97","3,139,067"
10/09/2024,"151.56","154.44","150.25","154.33","3,514,297"
10/08/2024,"148.99","151.78","148.81","151.32","3,224,142"
10/07/2024,"152.63","152.63","147.91","149.00","3,301,408"
10/04/2024,"151.92","153.87","151.32","152.88","3,557,483"
10/03/2024,"149.89","150.00","147.54","149.60","4,790,132"
10/02/2024,"151.66","152.45","149.96","150.40","2,794,972"
10/01/2024,"155.25","155.40","151.37","152.20","3,994,414"
