Date,Open,High,Low,Close,Volume,Company,company
2024-11-18,-0.628908413120003,-0.6363161651847463,-0.6269819242109295,-0.6326529988387815,-0.1030021469719634,price_wmt,wmt
2024-11-15,-0.6305179766356529,-0.636699863878164,-0.625413671732095,-0.6317123137520048,-0.2139222155589021,price_wmt,wmt
2024-11-14,-0.6277428671259115,-0.6313280821703156,-0.6231733110480455,-0.630494956580882,-0.2367846699125108,price_wmt,wmt
2024-11-13,-0.6279648758866909,-0.6311636398731365,-0.6207649233126925,-0.6247955116433523,-0.2779980217509282,price_wmt,wmt
2024-11-12,-0.6306844832062374,-0.6325888064486881,-0.6222771667744258,-0.6276175669036825,-0.2771904778994939,price_wmt,wmt
2024-11-11,-0.6281868846474702,-0.6332465756374043,-0.6244055094242726,-0.6319336514194817,-0.3112346863120026,price_wmt,wmt
2024-11-08,-0.6319055313905236,-0.6331917615383446,-0.6237894102361591,-0.62850291757359,-0.2556398439555801,price_wmt,wmt
2024-11-07,-0.6350136540414341,-0.6388376137414914,-0.628326140621359,-0.6339256904267736,-0.2799174989201183,price_wmt,wmt
2024-11-06,-0.6271323430337684,-0.6325339923496284,-0.635943366947127,-0.6361944015184116,-0.177403348839529,price_wmt,wmt
2024-11-05,-0.640785881821696,-0.6422360878831915,-0.6334229611775715,-0.6348663755135502,-0.3087193352013685,price_wmt,wmt
2024-11-04,-0.6434499869510478,-0.6469501004023238,-0.6362794210497345,-0.6416725087884643,-0.2930292505214683,price_wmt,wmt
2024-11-01,-0.6416184146746186,-0.6490330361665916,-0.6388558358363912,-0.643111203627064,-0.2867059451056601,price_wmt,wmt
2024-10-31,-0.6485006862587772,-0.6495263630581287,-0.6406481243836307,-0.6444392296319252,-0.2396147905910828,price_wmt,wmt
2024-10-30,-0.6467801183627376,-0.652870023100769,-0.6402000522468209,-0.6475379569766015,-0.3275671590103202,price_wmt,wmt
2024-10-29,-0.640841384011891,-0.6472241708976222,-0.6381277186140751,-0.6458225900536557,-0.3217658184070137,price_wmt,wmt
2024-10-28,-0.6403973664903323,-0.6460182607183093,-0.6336469972459764,-0.6400124762823877,-0.3455028243761405,price_wmt,wmt
2024-10-25,-0.637899767931565,-0.6448123505389963,-0.6338150242972801,-0.6413405022872489,-0.3319073319851334,price_wmt,wmt
2024-10-24,-0.6392318204962409,-0.644702722340877,-0.6330308980578628,-0.6384077781931803,-0.2942240843805125,price_wmt,wmt
2024-10-23,-0.6451705548470875,-0.6445930941427577,-0.6373996013917591,-0.6371350866051882,-0.2744123980006479,price_wmt,wmt
2024-10-22,-0.6494997256822841,-0.6506774591383819,-0.6428324760505789,-0.6440518887138408,-0.2858878808809658,price_wmt,wmt
2024-10-21,-0.6488336993999462,-0.65440481787444,-0.6434485752386925,-0.6507473531550163,-0.3208123499648816,price_wmt,wmt
2024-10-18,-0.65083177824696,-0.6536374204876045,-0.6437846293412999,-0.6479806323115553,-0.2847095990758506,price_wmt,wmt
2024-10-17,-0.6486116906391669,-0.6546788883697384,-0.6438406383584011,-0.6503046778200625,-0.3253805906048063,price_wmt,wmt
2024-10-16,-0.6471686336941014,-0.6538018627847836,-0.6440086654097048,-0.6484786420633784,-0.3015548207396942,price_wmt,wmt
2024-10-15,-0.6519418220508566,-0.6529248371998287,-0.6446247645978184,-0.6460992621380018,-0.2713547567163739,price_wmt,wmt
2024-10-14,-0.655382957842936,-0.6601054841766465,-0.6488254408804109,-0.6536247428322157,-0.3185104782684386,price_wmt,wmt
2024-10-11,-0.6573255344997548,-0.6621884199409144,-0.6510097925473591,-0.654676096752731,-0.3233322178224352,price_wmt,wmt
2024-10-10,-0.6539399008978704,-0.6611469520587805,-0.650505711393448,-0.6573874831793227,-0.3059109566275338,price_wmt,wmt
2024-10-09,-0.656659508217417,-0.6601602982757062,-0.6488814498975122,-0.6530160642466543,-0.2834628647087239,price_wmt,wmt
2024-10-08,-0.6577695520213135,-0.6638876570117644,-0.6526900630603962,-0.6568341390106305,-0.2433882380719643,price_wmt,wmt
2024-10-07,-0.6518308176704669,-0.6577484779170805,-0.6531941442143072,-0.6602095384396529,-0.2220432423573718,price_wmt,wmt
2024-10-04,-0.655382957842936,-0.6567618241340062,-0.6483213597265,-0.6500280057357165,-0.2949881440224723,price_wmt,wmt
2024-10-03,-0.6539954030880653,-0.6597217854832288,-0.6483213597265,-0.6528500609960466,-0.294300392154558,price_wmt,wmt
2024-10-02,-0.6501657519646221,-0.6574744074217821,-0.6468091162647666,-0.6528500609960466,-0.224475272111787,price_wmt,wmt
2024-10-01,-0.6518863198606617,-0.6545144460725594,-0.645016827717527,-0.6482019699790322,-0.2323868733465618,price_wmt,wmt
2024-11-20,2.464062139867183,2.474000257758572,2.475581569094861,2.502152385636249,-0.4312019673048888,price_intu,intu
2024-11-19,2.4308163279404806,2.4443458301672862,2.446456880202219,2.4665723555893404,-0.4220093212589956,price_intu,intu
2024-11-18,2.705829680355854,2.6704539887884584,2.689536014421577,2.658250775624317,-0.4354138197802593,price_intu,intu
2024-11-15,2.736411387153204,2.6963810576436864,2.714235990963222,2.7083837573078307,-0.4323422916032822,price_intu,intu
2024-11-14,2.7942446693362157,2.768461597907163,2.78811188451975,2.7797098206522546,-0.4327567662553958,price_intu,intu
2024-11-13,2.7702122209818545,2.8165883768815605,2.79718534529015,2.810088415513456,-0.4369285571493922,price_intu,intu
2024-11-12,2.7577242281880183,2.756841008906511,2.7931526960588613,2.7725716808761254,-0.4378108377324653,price_intu,intu
2024-11-11,2.695506272979616,2.72987247216915,2.72594187553738,2.760840784499851,-0.4363384623996591,price_intu,intu
