Date,Open,High,Low,Close,Volume,Company
11/18/2024,84.82,84.85,83.66,84.08,"25,278,119",price_wmt
11/15/2024,84.53,84.78,83.94,84.25,"17,370,600",price_wmt
11/14/2024,85.03,85.76,84.34,84.47,"15,740,730",price_wmt
11/13/2024,84.99,85.79,84.77,85.5,"12,802,620",price_wmt
11/12/2024,84.5,85.53,84.5,84.99,"12,860,190",price_wmt
11/11/2024,84.95,85.41,84.12,84.21,"10,433,170",price_wmt
11/08/2024,84.28,85.42,84.23,84.83,"14,396,540",price_wmt
11/07/2024,83.72,84.39,83.42,83.85,"12,665,780",price_wmt
11/06/2024,85.14,85.54,82.06,83.44,"19,974,039",price_wmt
11/05/2024,82.68,83.77,82.51,83.68,"10,612,490",price_wmt
11/04/2024,82.2,82.91,82.0,82.45,"11,731,040",price_wmt
11/01/2024,82.53,82.53,81.54,82.19,"12,181,830",price_wmt
10/31/2024,81.29,82.44,81.22,81.95,"15,538,970",price_wmt
10/30/2024,81.6,81.83,81.3,81.39,"9,268,824",price_wmt
10/29/2024,82.67,82.86,81.67,81.7,"9,682,403",price_wmt
10/28/2024,82.75,83.08,82.47,82.75,"7,990,186",price_wmt
10/25/2024,83.2,83.3,82.44,82.51,"8,959,412",price_wmt
10/24/2024,82.96,83.32,82.58,83.04,"11,645,860",price_wmt
10/23/2024,81.89,83.34,81.8,83.27,"13,058,240",price_wmt
10/22/2024,81.11,82.23,80.83,82.02,"12,240,150",price_wmt
10/21/2024,81.23,81.55,80.72,80.81,"9,750,376",price_wmt
10/18/2024,80.87,81.69,80.66,81.31,"12,324,150",price_wmt
10/17/2024,81.27,81.5,80.65,80.89,"9,424,705",price_wmt
10/16/2024,81.53,81.66,80.62,81.22,"11,123,250",price_wmt
10/15/2024,80.67,81.82,80.51,81.65,"13,276,220",price_wmt
10/14/2024,80.05,80.51,79.76,80.29,"9,914,477",price_wmt
10/11/2024,79.7,80.13,79.37,80.1,"9,570,734",price_wmt
10/10/2024,80.31,80.32,79.46,79.61,"10,812,700",price_wmt
10/09/2024,79.82,80.5,79.75,80.4,"12,413,030",price_wmt
10/08/2024,79.62,79.82,79.07,79.71,"15,269,960",price_wmt
10/07/2024,80.69,80.94,78.98,79.1,"16,791,650",price_wmt
10/04/2024,80.05,81.12,79.85,80.94,"11,591,390",price_wmt
10/03/2024,80.3,80.58,79.85,80.43,"11,640,420",price_wmt
10/02/2024,80.99,80.99,80.12,80.43,"16,618,270",price_wmt
10/01/2024,80.68,81.53,80.44,81.27,"16,054,250",price_wmt
11/20/2024,642.09,652.28,637.6,650.6,"1,880,673",price_intu
11/19/2024,636.1,646.87,632.4,644.17,"2,536,019",price_intu
11/18/2024,685.65,688.12,675.8,678.81,"1,580,409",price_intu
11/15/2024,691.16,692.85,680.21,687.87,"1,799,379",price_intu
11/14/2024,701.58,706.0,693.4,700.76,"1,769,831",price_intu
11/13/2024,697.25,714.78,695.02,706.25,"1,472,423",price_intu
11/12/2024,695.0,703.88,694.3,699.47,"1,409,525",price_intu
11/11/2024,683.79,698.96,682.3,697.35,"1,514,491",price_intu
11/08/2024,678.0,688.88,672.23,684.22,"1,705,774",price_intu
11/07/2024,651.74,675.1,651.74,674.15,"1,928,020",price_intu
11/06/2024,643.12,668.0,642.75,648.39,"2,963,912",price_intu
11/05/2024,619.86,622.29,610.71,618.83,"1,564,288",price_intu
11/04/2024,623.0,624.52,615.83,619.01,"1,152,530",price_intu
11/01/2024,605.0,626.38,603.0,621.74,"1,436,999",price_intu
10/31/2024,620.17,621.74,608.55,610.3,"1,478,604",price_intu
10/30/2024,623.79,629.47,619.91,621.11,"1,082,398",price_intu
10/29/2024,612.99,625.6,609.38,623.7,"1,134,801",price_intu
10/28/2024,612.84,613.77,607.89,612.09,"1,291,982",price_intu
10/25/2024,610.0,617.22,607.83,609.27,"1,000,674",price_intu
10/24/2024,602.91,608.79,602.0,603.98,"883,317",price_intu
10/23/2024,608.02,609.99,599.65,602.01,"1,119,205",price_intu
10/22/2024,608.92,613.29,605.28,609.59,"1,088,541",price_intu
10/21/2024,608.23,615.62,607.11,613.93,"1,058,121",price_intu
10/18/2024,601.34,615.44,600.11,613.29,"1,299,488",price_intu
