Date,Open,High,Low,Close,Volume
11/20/2024,"642.09","652.28","637.60","650.60","1,880,673"
11/19/2024,"636.10","646.87","632.40","644.17","2,536,019"
11/18/2024,"685.65","688.12","675.80","678.81","1,580,409"
11/15/2024,"691.16","692.85","680.21","687.87","1,799,379"
11/14/2024,"701.58","706.00","693.40","700.76","1,769,831"
11/13/2024,"697.25","714.78","695.02","706.25","1,472,423"
11/12/2024,"695.00","703.88","694.30","699.47","1,409,525"
11/11/2024,"683.79","698.96","682.30","697.35","1,514,491"
11/08/2024,"678.00","688.88","672.23","684.22","1,705,774"
11/07/2024,"651.74","675.10","651.74","674.15","1,928,020"
11/06/2024,"643.12","668.00","642.75","648.39","2,963,912"
11/05/2024,"619.86","622.29","610.71","618.83","1,564,288"
11/04/2024,"623.00","624.52","615.83","619.01","1,152,530"
11/01/2024,"605.00","626.38","603.00","621.74","1,436,999"
10/31/2024,"620.17","621.74","608.55","610.30","1,478,604"
10/30/2024,"623.79","629.47","619.91","621.11","1,082,398"
10/29/2024,"612.99","625.60","609.38","623.70","1,134,801"
10/28/2024,"612.84","613.77","607.89","612.09","1,291,982"
10/25/2024,"610.00","617.22","607.83","609.27","1,000,674"
10/24/2024,"602.91","608.79","602.00","603.98","883,317"
10/23/2024,"608.02","609.99","599.65","602.01","1,119,205"
10/22/2024,"608.92","613.29","605.28","609.59","1,088,541"
10/21/2024,"608.23","615.62","607.11","613.93","1,058,121"
10/18/2024,"601.34","615.44","600.11","613.29","1,299,488"
10/17/2024,"619.08","619.14","607.85","609.23","1,135,351"
10/16/2024,"616.58","618.07","607.46","609.39","1,132,427"
10/15/2024,"619.82","623.04","615.76","617.89","1,259,317"
10/14/2024,"620.31","620.31","612.80","617.16","990,064"
10/11/2024,"619.18","622.35","613.73","616.68","1,275,688"
10/10/2024,"618.00","621.49","616.00","619.30","1,127,917"
10/09/2024,"615.00","621.97","611.61","621.61","1,183,577"
10/08/2024,"608.01","614.55","603.82","613.37","1,201,928"
10/07/2024,"607.03","610.54","600.71","602.43","1,711,215"
10/04/2024,"608.20","614.34","605.12","610.67","1,220,267"
10/03/2024,"601.31","607.00","599.89","603.81","1,290,000"
10/02/2024,"607.40","612.63","604.26","607.28","1,164,726"
10/01/2024,"618.02","618.60","603.85","606.28","1,869,058"
