Date,Open,High,Low,Close,Volume
11/19/2024,"4.7450","4.7500","4.4800","4.6300","81,563,516"
11/18/2024,"4.6050","4.7500","4.5500","4.6700","47,955,672"
11/15/2024,"4.4400","4.5100","4.3600","4.4900","46,287,434"
11/14/2024,"4.5700","4.6500","4.4300","4.4300","39,880,859"
11/13/2024,"4.6600","4.6900","4.5600","4.6100","45,111,281"
11/12/2024,"4.8800","4.8800","4.5800","4.5800","86,695,680"
11/11/2024,"5.1800","5.2300","5.0000","5.0600","51,270,559"
11/08/2024,"5.1600","5.2000","5.0150","5.0900","57,885,301"
11/07/2024,"5.2300","5.3500","5.1301","5.3100","56,496,047"
11/06/2024,"5.0000","5.1800","4.8600","5.0000","81,290,898"
11/05/2024,"5.2800","5.3800","5.2200","5.2800","32,012,100"
11/04/2024,"5.1300","5.3000","5.1200","5.1400","36,745,793"
11/01/2024,"5.1400","5.1900","5.0000","5.1000","43,951,801"
10/31/2024,"5.3000","5.3100","5.0500","5.1000","50,277,422"
10/30/2024,"5.4400","5.4400","5.3000","5.3500","57,415,090"
10/29/2024,"5.9000","5.9050","5.5900","5.6000","64,407,152"
10/28/2024,"5.3800","6.0300","5.3700","5.8100","109,992,398"
10/25/2024,"5.0600","5.3500","5.0100","5.2600","67,917,086"
10/24/2024,"5.1500","5.1600","4.9600","4.9800","49,328,672"
10/23/2024,"5.2200","5.2900","5.1500","5.1900","36,170,879"
10/22/2024,"5.1600","5.3500","5.1500","5.2300","38,285,848"
10/21/2024,"5.0900","5.2700","5.0518","5.1400","35,255,312"
10/18/2024,"5.4600","5.4900","5.1800","5.2200","66,972,484"
10/17/2024,"5.3600","5.3600","5.0500","5.1500","74,651,602"
10/16/2024,"5.6600","5.6900","5.4750","5.5100","46,932,633"
10/15/2024,"5.6100","5.8100","5.5500","5.6200","67,585,750"
10/14/2024,"6.0600","6.1799","5.7600","5.7900","80,930,078"
10/11/2024,"6.0600","6.3000","6.0300","6.2400","42,897,922"
10/10/2024,"6.2300","6.3500","6.1301","6.2200","47,902,281"
10/09/2024,"6.0800","6.4500","5.9775","6.2900","70,071,070"
10/08/2024,"6.2600","6.4000","6.1100","6.2400","82,359,219"
10/07/2024,"6.8100","6.9300","6.5600","6.7900","78,405,039"
10/04/2024,"6.7200","6.8000","6.4000","6.7700","92,195,000"
10/03/2024,"6.8600","6.9900","6.6700","6.7000","99,136,031"
10/02/2024,"7.2400","7.3800","6.8202","7.2100","135,598,094"
10/01/2024,"6.9000","7.0800","6.4400","7.0300","146,968,891"
