Date,Open,High,Low,Close,Volume
11/18/2024,"288.24","297.12","285.00","289.01","510,004"
11/15/2024,"290.85","299.12","269.57","278.53","658,122"
11/14/2024,"317.23","319.74","293.91","300.51","525,606"
11/13/2024,"344.90","346.28","316.07","317.23","685,932"
11/12/2024,"347.33","353.00","338.00","343.86","356,676"
11/11/2024,"361.45","364.98","350.61","352.37","317,939"
11/08/2024,"337.25","352.75","333.06","346.37","325,651"
11/07/2024,"346.42","349.00","332.42","337.56","398,953"
11/06/2024,"320.72","350.48","307.43","347.77","619,217"
11/05/2024,"271.71","295.90","271.71","294.39","322,149"
11/04/2024,"273.23","281.99","266.22","268.85","481,379"
11/01/2024,"257.51","280.77","257.51","279.33","587,426"
10/31/2024,"253.18","257.07","248.04","254.98","269,050"
10/30/2024,"259.79","261.05","248.86","254.40","409,700"
10/29/2024,"255.59","262.58","252.09","261.36","418,609"
10/28/2024,"259.66","266.76","258.33","259.44","264,584"
10/25/2024,"252.95","257.95","250.30","254.31","232,092"
10/24/2024,"255.56","258.97","248.53","249.71","292,156"
10/23/2024,"262.56","263.45","245.99","255.17","540,326"
10/22/2024,"275.99","278.00","264.73","267.09","365,771"
10/21/2024,"271.00","280.71","268.16","279.96","298,039"
10/18/2024,"277.12","278.00","270.86","271.33","222,670"
10/17/2024,"283.57","284.45","274.03","275.58","339,784"
10/16/2024,"269.84","281.76","268.50","280.39","367,420"
10/15/2024,"264.59","266.39","252.63","264.55","334,963"
10/14/2024,"262.90","268.52","261.46","266.48","284,216"
10/11/2024,"246.66","263.50","246.65","262.97","378,723"
10/10/2024,"252.55","253.85","235.55","247.03","471,547"
10/09/2024,"254.86","260.55","252.51","255.01","543,685"
10/08/2024,"245.01","253.46","240.16","252.17","400,534"
10/07/2024,"244.63","254.09","242.50","246.01","426,847"
10/04/2024,"239.03","248.07","237.47","242.99","432,056"
10/03/2024,"231.64","242.00","225.33","232.22","414,804"
10/02/2024,"230.25","233.00","225.54","231.60","402,112"
10/01/2024,"220.27","230.02","214.20","228.51","443,714"
